Distancia,Latitud,Longitud,BAZ,Magnitud,Estacion,TiempoInicio,TiempoFin
81.5117263794,-29.9475198781,-71.229242128,164.077836846,3.48,CO10,2021-07-04T03:36:55.000000Z,2021-07-04T03:37:43.975000Z
84.4421234131,-29.8360861664,-70.9175747448,141.551340209,3.17,CO10,2021-07-04T03:37:45.000000Z,2021-07-04T03:38:47.975000Z
79.7681274414,-29.0185735842,-72.2405737367,287.776606187,3.12,CO10,2021-07-04T03:39:21.000000Z,2021-07-04T03:40:09.975000Z
70.7047576904,-29.6009841269,-72.0620277737,235.449379484,3.77,CO10,2021-07-04T03:40:11.000000Z,2021-07-04T03:43:03.975000Z
97.4324874878,-29.2449851713,-72.4631455488,269.467409853,3.48,CO10,2021-07-04T03:44:13.000000Z,2021-07-04T03:44:45.975000Z
97.2715682983,-29.5372569388,-72.4039280133,250.009266417,3.48,CO10,2021-07-04T03:45:33.000000Z,2021-07-04T03:46:05.975000Z
73.4742431641,-29.7778201889,-71.9047422864,215.746045917,4.25,CO10,2021-07-04T03:46:09.000000Z,2021-07-04T03:48:29.975000Z
80.5210800171,-28.9616781617,-72.2246728109,292.389032933,3.29,CO10,2021-07-04T03:48:31.000000Z,2021-07-04T03:49:25.975000Z
40.2695541382,-29.5598885312,-71.6587535056,208.438248939,2.95,CO10,2021-07-04T03:49:27.000000Z,2021-07-04T03:50:49.975000Z
75.0894927979,-29.220380974,-72.2328794199,271.519198679,4.77,CO10,2021-07-04T03:50:59.000000Z,2021-07-04T03:55:09.975000Z
76.0773849487,-29.476782195,-72.1965021848,249.689968733,2.96,CO10,2021-07-04T03:55:35.000000Z,2021-07-04T03:56:31.975000Z
86.3215637207,-29.851453865,-70.9084842962,141.803661057,3.75,CO10,2021-07-04T03:57:59.000000Z,2021-07-04T03:58:57.975000Z
86.0272521973,-28.465742045,-71.4087468546,3.40194006755,3.13,CO10,2021-07-04T03:59:15.000000Z,2021-07-04T04:00:01.975000Z
76.0369262695,-29.835802383,-71.0709441718,150.289829591,3.16,CO10,2021-07-04T04:00:39.000000Z,2021-07-04T04:01:33.975000Z
67.9114837646,-28.7329115285,-71.0706540071,34.1470355668,5.39,CO10,2021-07-04T04:03:21.000000Z,2021-07-04T04:08:03.975000Z
72.55103302,-29.8745486275,-71.6469821698,194.349016681,5.12,CO10,2021-07-04T04:08:07.000000Z,2021-07-04T04:12:25.975000Z
90.7221298218,-29.8446512958,-72.0924165783,222.277769481,3.38,CO10,2021-07-04T04:14:45.000000Z,2021-07-04T04:15:25.975000Z
73.9660949707,-28.9540881102,-72.1471121004,295.255280838,3.48,CO10,2021-07-04T04:15:27.000000Z,2021-07-04T04:16:53.975000Z
63.4603652954,-29.7140318502,-71.8287500042,214.120378932,3.27,CO10,2021-07-04T04:19:41.000000Z,2021-07-04T04:21:09.975000Z
76.889175415,-29.8661236447,-71.1180289283,154.481229817,3.36,CO10,2021-07-04T04:23:09.000000Z,2021-07-04T04:24:13.975000Z
78.3987884521,,,,3.34,CO10,2021-07-04T04:25:37.000000Z,2021-07-04T04:26:29.975000Z
69.2864379883,-29.7556240422,-71.8657376215,214.415456765,4.02,CO10,2021-07-04T04:27:37.000000Z,2021-07-04T04:30:03.975000Z
80.5676040649,-29.7315550465,-70.8482827482,132.642464927,4.26,CO10,2021-07-04T04:30:57.000000Z,2021-07-04T04:33:35.975000Z
79.6823806763,-28.8742498657,-72.1649061847,300.462043325,4.17,CO10,2021-07-04T04:36:39.000000Z,2021-07-04T04:39:19.975000Z
96.8423461914,-30.070950793,-71.1499434092,161.96648877,3.35,CO10,2021-07-04T04:41:33.000000Z,2021-07-04T04:42:07.975000Z
38.0351257324,-28.9235430885,-71.6104062658,337.457571719,2.74,CO10,2021-07-04T04:42:49.000000Z,2021-07-04T04:44:03.975000Z
95.0559921265,-29.7900107216,-72.2136553819,229.971294562,3.57,CO10,2021-07-04T04:45:55.000000Z,2021-07-04T04:46:27.975000Z
88.3824386597,-29.9612768022,-71.0705640894,154.768985687,3.26,CO10,2021-07-04T04:48:39.000000Z,2021-07-04T04:49:23.975000Z
27.7795257568,-29.4399418988,-71.6341956831,217.254930327,3.24,CO10,2021-07-04T04:50:35.000000Z,2021-07-04T04:52:13.975000Z
85.4534759521,-30.0112328845,-71.4836357022,181.47282602,3.91,CO10,2021-07-04T04:56:45.000000Z,2021-07-04T04:59:45.975000Z
81.1269378662,-29.6656002595,-72.1416829456,234.332206422,3.76,CO10,2021-07-04T05:02:35.000000Z,2021-07-04T05:04:09.975000Z
72.7639541626,-29.8953308277,-71.4070893717,175.906153545,4.16,CO10,2021-07-04T05:05:37.000000Z,2021-07-04T05:09:19.975000Z
89.6712112427,-30.0480308808,-71.5173664767,183.483606391,3.49,CO10,2021-07-04T05:11:45.000000Z,2021-07-04T05:12:31.975000Z
89.1037979126,-29.7571295389,-70.7567928933,130.158174862,3.17,CO10,2021-07-04T05:13:53.000000Z,2021-07-04T05:14:35.975000Z
55.9430732727,-29.1281123051,-70.9001693794,77.2626900798,3.32,CO10,2021-07-04T05:29:27.000000Z,2021-07-04T05:32:01.975000Z
70.5010604858,-28.7908569374,-70.9490931809,45.1330157712,3.16,CO10,2021-07-04T05:32:31.000000Z,2021-07-04T05:33:29.975000Z
59.6084480286,-29.7316162154,-71.2102761922,156.00105619,3.62,CO10,2021-07-04T05:33:47.000000Z,2021-07-04T05:36:27.975000Z
78.1069259644,-29.7560098277,-72.0101120536,222.854934126,3.17,CO10,2021-07-04T05:37:25.000000Z,2021-07-04T05:38:13.975000Z
74.9315719604,-29.8823452203,-71.2179457626,161.74913849,4.79,CO10,2021-07-04T05:39:59.000000Z,2021-07-04T05:42:51.975000Z
68.4125289917,-29.6692393091,-71.9682449541,225.885215853,3.51,CO10,2021-07-04T05:42:53.000000Z,2021-07-04T05:45:47.975000Z
70.8535842896,-29.2660765766,-72.1892341598,267.53528594,3.38,CO10,2021-07-04T05:47:43.000000Z,2021-07-04T05:48:57.975000Z
87.2537841797,-30.0270185216,-71.4225671039,177.573047552,3.74,CO10,2021-07-04T05:53:17.000000Z,2021-07-04T05:54:19.975000Z
